mag,mag_error,time
1.4714113592648062,0.003146412783159591,2019-09-04T20:37:52.578
1.5280533502455818,0.004135317691121511,2019-08-20T04:58:04.866
1.5280118086030754,0.0020224527585023266,2019-08-21T11:44:19.767
1.5517214872013447,0.003235804022455101,2019-09-18T20:35:13.247
1.435425230241096,0.003174511270624763,2019-08-18T20:54:58.695
0.7242727267580626,0.00722010846368548,2019-09-24T04:41:20.595
1.5353300716926803,0.003047015948193433,2019-09-03T20:47:45.872
1.5662165385993632,0.0027404459642047818,2019-09-05T07:46:41.123
0.27918004256524753,0.0031442735836242405,2019-09-20T09:10:55.060
0.9314644908266274,0.002431259005032304,2019-08-16T20:55:21.706
1.4506912363961995,0.0017519774359226155,2019-09-17T08:57:13.170
1.4924794304756244,0.0029866752235332386,2019-09-21T00:03:21.233
3.296834401684805,0.016676219852270673,2019-08-30T00:24:15.350
1.0776677675802127,0.0020293104679986367,2019-09-11T20:21:24.728
0.9901240394458277,0.001867029611775856,2019-08-13T21:06:27.794
1.473959431535997,0.002086334008715275,2019-09-19T07:48:04.058
2.6280786297977006,0.007545192562390455,2019-08-21T04:44:50.777
1.5826227416190282,0.002247006042901343,2019-08-31T04:52:48.292
1.5251380887664236,0.003640075507172876,2019-09-28T20:21:25.812
1.400126695302216,0.0031783765037255566,2019-09-04T07:48:00.843
1.1802172099545878,0.0015253736753644916,2019-08-13T08:50:08.305
1.5579765082346793,0.0033169607010387152,2019-09-19T21:02:08.767
1.1791090699004965,0.0023516368659275582,2019-09-09T20:21:30.084
0.4407293300513633,0.0037333593924283315,2019-08-30T20:32:25.321
1.6228686398502425,0.003027307893478152,2019-08-05T21:48:27.313
1.5436177054522524,0.0032899960643711238,2019-09-25T20:50:02.199
1.0307644504212377,0.0017331457530006685,2019-08-14T23:46:48.422
0.9757375940108624,0.0024042452108538935,2019-08-11T21:00:18.359
1.5645906405537033,0.0031535759434539274,2019-08-04T04:22:59.089
1.493219309174311,0.0030493814866649344,2019-09-01T20:28:55.761
0.8220165902242869,0.007661306446328888,2019-09-23T20:30:40.610
1.3968140667202658,0.003401071808028799,2019-08-24T20:40:35.410
0.9050034706904597,0.002236889091405203,2019-08-08T20:56:26.804
1.468458571542815,0.003726723202551203,2019-08-27T00:02:55.888
3.152767956880317,0.011304218591803973,2019-09-22T00:07:34.553
1.292975329759436,0.0016423451632147643,2019-09-30T08:54:32.362
1.5987864736290724,0.002128632582403953,2019-09-25T08:21:29.653
1.4988355870290953,0.0031219467547383647,2019-09-26T20:04:33.432
1.2789078304992554,0.004426507775814007,2019-09-02T07:53:27.505
1.0606141676976701,0.0020941691018037537,2019-09-10T23:48:04.753
1.2444812423604041,0.002647017730761462,2019-08-31T23:45:41.381
1.638667881585075,0.0020499041507160707,2019-09-27T08:45:01.213
1.4706635272736417,0.0020214462065959943,2019-09-22T05:20:14.643
1.4950961068116335,0.003050714385682284,2019-09-17T20:19:50.866
2.966096293422318,0.010393391506896273,2019-08-26T04:54:11.046
1.157499803777231,0.002197626586737833,2019-08-18T23:48:02.199
3.173716978607443,0.011418083092040829,2019-09-03T23:45:40.605
1.117370304895882,0.002252760330936095,2019-08-09T20:53:07.304
1.5514221320312274,0.003246924200774584,2019-09-25T00:08:58.687
1.4951514683186122,0.00292656316080385,2019-08-21T00:38:58.397
0.6585871239142751,0.0010608090652089713,2019-09-12T07:48:47.902
1.6613418290708974,0.002135870027232084,2019-09-28T08:36:59.446
1.5707800100633733,0.0031258312727198657,2019-08-11T03:25:04.309
2.069696763027162,0.004238732210703981,2019-08-10T21:09:34.767
1.5820245093389502,0.0020714688494243593,2019-09-29T08:04:32.851
1.3099097639704294,0.002741574478211469,2019-08-07T21:27:51.446
1.1254449254112089,0.001436096124025353,2019-09-14T08:45:45.271
1.1144737576590114,0.0022155740992009,2019-08-12T22:57:49.073
1.5496346307482014,0.0034477158381028593,2019-09-25T00:31:10.216
1.4083249237565258,0.00333919829318328,2019-08-26T20:38:17.000
1.432804420894783,0.0028208720328347955,2019-09-20T00:10:07.317
1.4721653422698981,0.003995354835152612,2019-08-29T04:58:46.111
2.955116966358176,0.009752548609036784,2019-08-27T04:47:47.712
1.4324731940062279,0.003282416117859466,2019-09-29T04:11:22.860
1.5389091137777182,0.003128710704714183,2019-08-29T20:37:39.449
1.4142521485914017,0.002893796738381146,2019-09-18T23:45:53.993
1.3698917128321622,0.002879755134193096,2019-08-17T20:45:46.092
0.9424283313812687,0.002500170606300058,2019-09-07T23:48:10.631
1.0158539367811485,0.0019176646282046135,2019-09-15T00:15:15.853
1.554183113778361,0.0023821971887496,2019-08-05T05:08:22.171
1.5687507219553734,0.003310198763943452,2019-09-26T00:34:32.932
1.581010919499695,0.002147432952705171,2019-08-24T08:10:29.384
1.6367302987548804,0.0033283826589387082,2019-09-02T23:48:07.695
1.4342309008567824,0.0029735581429940166,2019-09-21T20:07:04.585
0.31265898507354883,0.0031066713836201223,2019-08-23T20:57:09.095
1.59420501269822,0.0030045889701752694,2019-08-06T03:22:48.730
1.579073100993611,0.003166453031972269,2019-08-01T04:14:14.030
1.4783393783557859,0.0018875496155793107,2019-09-30T05:10:23.820
1.5843940238529601,0.0030993165329430764,2019-08-03T22:59:15.857
1.0732337198512099,0.0038684386212074454,2019-08-25T20:45:36.732
0.6275909884626554,0.0011559723912190855,2019-08-15T08:52:26.628
0.575408013689886,0.001274107835064315,2019-08-16T00:28:18.529
1.021077719888046,0.0018129203449009984,2019-08-14T03:02:43.362
1.5456350774465513,0.0030583849786842347,2019-08-02T22:27:45.578
1.669637541196943,0.0020687666481040293,2019-09-27T08:25:19.891
1.4239613854815012,0.0033690709924417356,2019-09-17T20:44:11.908
1.589033611737344,0.0018908564847222886,2019-09-07T07:44:36.002
1.5606108597878272,0.0031064052687762205,2019-08-04T22:14:36.602
1.0645069829394913,0.0019898041032609783,2019-09-12T20:25:15.847
1.0614120404324545,0.0036785641417164997,2019-09-30T00:11:27.266
1.2838375415909908,0.002604143608361782,2019-09-20T21:03:14.008
1.291801787910872,0.0027248066569783725,2019-09-15T20:28:23.270
1.5176022763306385,0.002984742550118394,2019-09-04T21:04:52.572
1.5717138771883192,0.0022529413296964924,2019-09-27T04:50:39.680
1.1443744045821163,0.0021839455416559415,2019-08-13T03:17:25.860
1.3477546502692181,0.0016911863665489408,2019-08-18T11:54:30.232
1.6279280073726703,0.0032804357494743016,2019-09-01T23:44:38.409
1.5770374899738044,0.0022643132867330453,2019-08-11T08:50:29.718
1.4571305151890765,0.004810885688775564,2019-08-21T07:47:04.412
1.4434269228815797,0.0038211788661738862,2019-09-23T20:07:03.930
1.0065150396263718,0.0014557523273398217,2019-08-17T07:46:52.749
